threshold,precision,recall
0.0,0.17574224470776195,1.0
0.008450078512355559,0.17597653646180508,1.0
0.013695534405905192,0.176,1.0
0.023809523809523808,0.1760234697959728,1.0
0.02434930998765779,0.17779576419803048,0.9984848484848485
0.024722633103433513,0.17781975175391257,0.9984848484848485
0.027587395072396517,0.1778437457832951,0.9984848484848485
0.03054071245505382,0.17786774628879892,0.9984848484848485
0.03380982706155625,0.1778917532730463,0.9984848484848485
0.03593963905472046,0.1779157667386609,0.9984848484848485
0.036259794634183426,0.17793978668826785,0.9984848484848485
0.03934683924975823,0.17796381312449366,0.9984848484848485
0.03941454069724029,0.17798784604996623,0.9984848484848485
0.05032994091919124,0.17801188546731497,0.9984848484848485
0.05649717514124294,0.17803593137917062,0.9984848484848485
0.05673805815178857,0.1838392475416845,0.9772727272727273
0.05703211084030752,0.1838654503990878,0.9772727272727273
0.05720459841461952,0.18389166072701355,0.9772727272727273
0.05732342696046182,0.18391787852865696,0.9772727272727273
0.05733210417268385,0.18394410380721518,0.9772727272727273
0.05740987983978638,0.18397033656588704,0.9772727272727273
0.057971014492753624,0.21487908436403913,0.8818181818181818
0.09565217391304348,0.21816126601356442,0.8772727272727273
0.11473528096704537,0.23012295081967213,0.8507575757575757
0.11678832116788321,0.2301701168272187,0.8507575757575757
0.11698414868914878,0.25218446601941746,0.7871212121212121
0.11761814948204592,0.2522456907016266,0.7871212121212121
0.12134720527221818,0.2523069451189898,0.7871212121212121
0.12148836679087971,0.25236822929317465,0.7871212121212121
0.12219302457034564,0.2524295432458698,0.7871212121212121
0.1246911368814086,0.2524908869987849,0.7871212121212121
0.12497658609361206,0.25255226057365093,0.7871212121212121
0.12984008143703274,0.2523705324580598,0.7863636363636364
0.12994350282485878,0.252431906614786,0.7863636363636364
0.132028436743898,0.2639365918097754,0.7568181818181818
0.14285714285714285,0.26374207188160675,0.7560606060606061
0.1506276150627615,0.26549865229110514,0.7462121212121212
0.15844116360163701,0.2845887173022376,0.6840909090909091
0.1834203373153399,0.28467843631778056,0.6840909090909091
0.1910812326539869,0.2847682119205298,0.6840909090909091
0.19305019305019305,0.28454258675078864,0.6833333333333333
0.2064516129032258,0.2959479015918958,0.6196969696969697
0.21962616822429906,0.3024447949526814,0.581060606060606
0.22991396526142988,0.3687549563838224,0.3522727272727273
0.23618115671307677,0.36904761904761907,0.3522727272727273
0.23644951675004777,0.369340746624305,0.3522727272727273
0.24080451036121517,0.3696343402225755,0.3522727272727273
0.2463768115942029,0.36992840095465396,0.3522727272727273
0.2726701413540769,0.3799830364715861,0.3393939393939394
0.27803636716003677,0.38030560271646857,0.3393939393939394
0.29040143249268613,0.3806287170773152,0.3393939393939394
0.29432275033343736,0.38095238095238093,0.3393939393939394
0.29702970297029707,0.38127659574468087,0.3393939393939394
0.3103448275862069,0.396,0.3
0.3149171270718232,0.41733181299885974,0.2772727272727273
0.3508771929824562,0.4683760683760684,0.20757575757575758
0.3611252985070265,0.5641025641025641,0.11666666666666667
0.38601403113969285,0.5661764705882353,0.11666666666666667
0.39661523790880804,0.5682656826568265,0.11666666666666667
0.5290006980132627,0.5666666666666667,0.1159090909090909
0.5402298850574713,0.5650557620817844,0.11515151515151516
0.6251459404830515,0.6808510638297872,0.048484848484848485
0.6304347826086957,0.6881720430107527,0.048484848484848485
0.7607523650289486,0.6842105263157895,0.009848484848484848
0.9079736801815159,0.6666666666666666,0.00909090909090909
1.0,0.6470588235294118,0.008333333333333333
1.0,1.0,0.0
