dimension,segment,n_orders,n_returns,base_rate,auc_pr,auc_pr_lift,roc_auc,precision,recall,brier,flag_rate,savings_inr,reliable
basket_size,6-15,2259,359,0.15891987605135016,0.3006079661625679,1.8915693469672448,0.6689114499340272,0.21480289621882542,0.7437325905292479,0.12438007138446117,0.5502434705621957,1125823.7583999988,True
basket_size,16-30,2170,460,0.2119815668202765,0.36081099423205515,1.7020866467033906,0.6811594202898551,0.26522593320235754,0.8804347826086957,0.15381204927195047,0.7036866359447005,2326634.568479999,True
basket_size,1-5,1706,149,0.0873388042203986,0.13949743073608625,1.5971987707098199,0.6230791446293636,0.16230366492146597,0.4161073825503356,0.08088579656993868,0.223915592028136,677178.9174400005,True
basket_size,30+,1376,352,0.2558139534883721,0.44107631098571914,1.7242073974896293,0.7054901123046875,0.3163900414937759,0.8664772727272727,0.1724247142378243,0.7005813953488372,3527464.008639998,True
category,OTHER,1618,285,0.1761433868974042,0.3555615288982624,2.018591416692592,0.7161171871915348,0.2776315789473684,0.7403508771929824,0.1312965613555044,0.46971569839307786,1665367.7905599996,True
category,224,660,132,0.2,0.3674730663844885,1.8373653319224426,0.7035697887970616,0.2520833333333333,0.9166666666666666,0.14548133379525818,0.7272727272727273,746215.9103999997,True
category,226,382,61,0.15968586387434555,0.29067382579980167,1.8202852697626923,0.692252693938001,0.21585903083700442,0.8032786885245902,0.1260995854794013,0.5942408376963351,242866.02943999995,True
category,227,351,69,0.19658119658119658,0.35750088389997625,1.818591452882488,0.7055709733785589,0.2765957446808511,0.7536231884057971,0.14560712844002757,0.5356125356125356,171731.26832000026,True
category,221,307,63,0.20521172638436483,0.31611095814758144,1.5404137166874206,0.6562581316679676,0.24630541871921183,0.7936507936507936,0.1569467136443346,0.6612377850162866,132258.00271999987,True
category,475,295,61,0.20677966101694914,0.4786847316394085,2.31495075137091,0.7858343841950398,0.3,0.8852459016393442,0.13911575213976385,0.6101694915254238,601937.0299199999,True
customer_type,returning,6910,1231,0.17814761215629524,0.349744041193207,1.96322609638104,0.7090271868266644,0.2584089695675387,0.7863525588952072,0.13252160051546694,0.5421128798842257,7315136.73584,True
customer_type,new,601,89,0.1480865224625624,0.21920037661146796,1.4802182735223848,0.6412614115168539,0.1918918918918919,0.797752808988764,0.12357744485077433,0.6156405990016639,341964.51712,True
order_value,300-500,2205,487,0.22086167800453516,0.34953459151262123,1.5825950190663856,0.6505576896874021,0.2552147239263804,0.8542094455852156,0.16190368875379188,0.7392290249433107,1332362.2273600008,True
order_value,<150,1853,146,0.07879114948731786,0.1236677999808205,1.5695646120853453,0.5924075723652005,0.1544943820224719,0.3767123287671233,0.07171374694631777,0.1921208850512682,21379.810880000005,True
order_value,150-300,1838,267,0.14526659412404788,0.22485239870653562,1.5478603326689604,0.6533220330093431,0.20149253731343283,0.7078651685393258,0.12045729958337832,0.5103373231773667,300017.77567999996,True
order_value,500-1k,1143,279,0.2440944881889764,0.38468090893336926,1.5759508204689643,0.6857141079251294,0.29916567342073896,0.899641577060932,0.17192930796904118,0.7340332458442694,1710651.2537599998,True
order_value,1k+,472,141,0.298728813559322,0.5622034299641745,1.8819859499509957,0.74740202695464,0.3626062322946176,0.9078014184397163,0.17414275737434445,0.7478813559322034,4292690.185279999,True
region,UK,6777,1188,0.1752988047808765,0.3422214083325516,1.952217579351601,0.7073169519492655,0.2573262629081775,0.7760942760942761,0.1314659334920617,0.5287000147557916,6621913.655200001,True
region,EU,696,127,0.1824712643678161,0.36409742686203733,1.9953685755588817,0.6957364072900377,0.22266401590457258,0.8818897637795275,0.1357034785437033,0.7227011494252874,963544.925600002,True
region,ROW,38,5,0.13157894736842105,0.2309090909090909,1.754909090909091,0.6575757575757576,0.16666666666666666,1.0,0.12105398881769273,0.7894736842105263,71642.67216000005,False
