action,fn_multiplier,fp_multiplier,fn_over_fp,t_star,orders_flagged,flag_rate,precision,recall,do_nothing_cost_inr,total_cost_inr,savings_inr,savings_pct,model_profitable
remove_discount,0.5,0.25,2.0,0.057146,7015,0.9339635201704167,0.18389166072701355,0.9772727272727273,14381835.024000002,9389407.358480003,4992427.665519999,0.3471342604882323,True
remove_discount,0.5,0.5,1.0,0.121855,4116,0.5479962721342032,0.2524295432458698,0.7871212121212121,14381835.024000002,10553284.397520002,3828550.62648,0.2662073803580018,True
remove_discount,0.5,1.0,0.5,0.206452,2536,0.337638130741579,0.3024447949526814,0.581060606060606,14381835.024000002,12048144.452720003,2333690.571279999,0.16226653743319971,True
remove_discount,0.5,2.0,0.25,0.310345,877,0.11676208227932366,0.41733181299885974,0.2772727272727273,14381835.024000002,13601271.39928,780563.6247200016,0.05427427191435717,True
remove_discount,0.5,4.0,0.125,0.630435,19,0.002529623219278392,0.6842105263157895,0.009848484848484848,14381835.024000002,14177844.262400003,203990.76159999892,0.01418391750841147,True
remove_discount,0.5,8.0,0.0625,0.630435,19,0.002529623219278392,0.6842105263157895,0.009848484848484848,14381835.024000002,14248029.270400003,133805.75359999947,0.009303802565994407,True
remove_discount,0.75,0.25,3.0,0.056497,7403,0.985621089069365,0.17803593137917062,0.9984848484848485,21572752.536000002,13356497.579320004,8216254.956679998,0.3808626156059104,True
remove_discount,0.75,0.5,1.5,0.116788,4879,0.6495806150978565,0.2301701168272187,0.8507575757575757,21572752.536000002,14772245.125,6800507.411000002,0.31523596257137365,True
remove_discount,0.75,1.0,0.75,0.197339,2764,0.3679936093729197,0.2959479015918958,0.6196969696969697,21572752.536000002,16708661.180000002,4864091.356000001,0.2254738401083933,True
remove_discount,0.75,2.0,0.375,0.310345,877,0.11676208227932366,0.41733181299885974,0.2772727272727273,21572752.536000002,19334859.63988,2237892.8961200006,0.10373701234394953,True
remove_discount,0.75,4.0,0.1875,0.39,271,0.03608041539076022,0.5682656826568265,0.11666666666666667,21572752.536000002,20788968.284360003,783784.2516399994,0.03633213936571341,True
remove_discount,0.75,8.0,0.09375,0.630435,19,0.002529623219278392,0.6842105263157895,0.009848484848484848,21572752.536000002,21301858.897600006,270893.63839999586,0.012557212527605653,True
remove_discount,1.0,0.25,4.0,0.056497,7403,0.985621089069365,0.17803593137917062,0.9984848484848485,28763670.048000004,17311838.785720002,11451831.262280002,0.3981352603186418,True
remove_discount,1.0,0.5,2.0,0.057146,7015,0.9339635201704167,0.18389166072701355,0.9772727272727273,28763670.048000004,18778814.716960005,9984855.331039999,0.3471342604882323,True
remove_discount,1.0,1.0,1.0,0.121855,4116,0.5479962721342032,0.2524295432458698,0.7871212121212121,28763670.048000004,21106568.795040004,7657101.25296,0.2662073803580018,True
remove_discount,1.0,2.0,0.5,0.206452,2536,0.337638130741579,0.3024447949526814,0.581060606060606,28763670.048000004,24096288.905440006,4667381.142559998,0.16226653743319971,True
remove_discount,1.0,4.0,0.25,0.310345,877,0.11676208227932366,0.41733181299885974,0.2772727272727273,28763670.048000004,27202542.79856,1561127.2494400032,0.05427427191435717,True
remove_discount,1.0,8.0,0.125,0.630435,19,0.002529623219278392,0.6842105263157895,0.009848484848484848,28763670.048000004,28355688.524800006,407981.52319999784,0.01418391750841147,True
remove_discount,1.5,0.25,6.0,0.056497,7403,0.985621089069365,0.17803593137917062,0.9984848484848485,43145505.072000004,25222521.19852001,17922983.873479996,0.4154079050313729,True
remove_discount,1.5,0.5,3.0,0.056497,7403,0.985621089069365,0.17803593137917062,0.9984848484848485,43145505.072000004,26712995.15864001,16432509.913359996,0.3808626156059104,True
remove_discount,1.5,1.0,1.5,0.116788,4879,0.6495806150978565,0.2301701168272187,0.8507575757575757,43145505.072000004,29544490.25,13601014.822000004,0.31523596257137365,True
remove_discount,1.5,2.0,0.75,0.197339,2764,0.3679936093729197,0.2959479015918958,0.6196969696969697,43145505.072000004,33417322.360000003,9728182.712000001,0.2254738401083933,True
remove_discount,1.5,4.0,0.375,0.310345,877,0.11676208227932366,0.41733181299885974,0.2772727272727273,43145505.072000004,38669719.27976,4475785.792240001,0.10373701234394953,True
remove_discount,1.5,8.0,0.1875,0.39,271,0.03608041539076022,0.5682656826568265,0.11666666666666667,43145505.072000004,41577936.568720005,1567568.503279999,0.03633213936571341,True
remove_discount,2.0,0.25,8.0,0.056497,7403,0.985621089069365,0.17803593137917062,0.9984848484848485,57527340.09600001,33133203.611320004,24394136.484680004,0.42404422738773867,True
remove_discount,2.0,0.5,4.0,0.056497,7403,0.985621089069365,0.17803593137917062,0.9984848484848485,57527340.09600001,34623677.571440004,22903662.524560004,0.3981352603186418,True
remove_discount,2.0,1.0,2.0,0.057146,7015,0.9339635201704167,0.18389166072701355,0.9772727272727273,57527340.09600001,37557629.43392001,19969710.662079997,0.3471342604882323,True
remove_discount,2.0,2.0,1.0,0.121855,4116,0.5479962721342032,0.2524295432458698,0.7871212121212121,57527340.09600001,42213137.59008001,15314202.50592,0.2662073803580018,True
remove_discount,2.0,4.0,0.5,0.206452,2536,0.337638130741579,0.3024447949526814,0.581060606060606,57527340.09600001,48192577.81088001,9334762.285119995,0.16226653743319971,True
remove_discount,2.0,8.0,0.25,0.310345,877,0.11676208227932366,0.41733181299885974,0.2772727272727273,57527340.09600001,54405085.59712,3122254.4988800064,0.05427427191435717,True
remove_discount,3.0,0.25,12.0,0.056497,7403,0.985621089069365,0.17803593137917062,0.9984848484848485,86291010.14400001,48954568.43692002,37336441.70707999,0.43268054974410414,True
remove_discount,3.0,0.5,6.0,0.056497,7403,0.985621089069365,0.17803593137917062,0.9984848484848485,86291010.14400001,50445042.39704002,35845967.74695999,0.4154079050313729,True
remove_discount,3.0,1.0,3.0,0.056497,7403,0.985621089069365,0.17803593137917062,0.9984848484848485,86291010.14400001,53425990.31728002,32865019.826719992,0.3808626156059104,True
remove_discount,3.0,2.0,1.5,0.116788,4879,0.6495806150978565,0.2301701168272187,0.8507575757575757,86291010.14400001,59088980.5,27202029.64400001,0.31523596257137365,True
remove_discount,3.0,4.0,0.75,0.197339,2764,0.3679936093729197,0.2959479015918958,0.6196969696969697,86291010.14400001,66834644.720000006,19456365.424000002,0.2254738401083933,True
remove_discount,3.0,8.0,0.375,0.310345,877,0.11676208227932366,0.41733181299885974,0.2772727272727273,86291010.14400001,77339438.55952,8951571.584480003,0.10373701234394953,True
