policy,orders_flagged,flag_rate,precision,recall,total_cost_inr,savings_vs_do_nothing_inr,savings_pct,model_saves_vs_this_inr
Do nothing (status quo),0,0.0,0.0,0.0,28763670.048000004,0.0,0.0,7657101.25296
Rule -- Deep discount: flag orders >= 30% off the reference price,523,0.06963120756224205,0.19120458891013384,0.07575757575757576,28715796.816800002,47873.231200002134,0.001664364495911427,7609228.021759998
Rule -- Big ticket: flag orders worth GBP 500 or more,1617,0.21528424976700838,0.2597402597402597,0.3181818181818182,23149022.553600002,5614647.494400002,0.19519927342479024,2042453.7585599981
Rule -- Repeat returner: flag customers with >= 1 confirmed past return,4626,0.6158966848622021,0.21768266320795504,0.7628787878787879,22574563.238400005,6189106.809599999,0.21517097085565895,1467994.4433600008
Flag every order,7511,1.0,0.17574224470776195,1.0,21837724.01488,6925946.033120003,0.2407879808648263,731155.2198399976
Model @ t*=0.122,4116,0.5479962721342032,0.2524295432458698,0.7871212121212121,21106568.795040004,7657101.25296,0.2662073803580018,0.0
"Model, per-order value-aware rule",3848,0.5123152709359606,0.26065488565488565,0.7598484848484849,21184344.057760004,7579325.99024,0.26350343949822236,77775.26272
