action,threshold,n,n_tp,n_fp,n_fn,n_tn,cost_tp,cost_fp,cost_fn,cost_tn,cost_tp_counterfactual,total_cost,do_nothing_cost,savings,n_flagged,flag_rate,precision,recall
remove_cod,0.129944,7511,999,2786,321,3405,8691284.219999999,8026659.760840001,3945700.848,0.0,24817969.200000003,20663644.82884,28763670.048000004,8100025.219160005,3785,0.5039275728930901,0.2639365918097754,0.7568181818181818
remove_cod,0.13,7511,999,2786,321,3405,8691284.219999999,8026659.760840001,3945700.848,0.0,24817969.200000003,20663644.82884,28763670.048000004,8100025.219160005,3785,0.5039275728930901,0.2639365918097754,0.7568181818181818
remove_cod,0.14,7511,998,2786,322,3405,8687550.1184,8026659.760840001,3956355.4240000006,0.0,24807314.624,20670565.30324,28763670.048000004,8093104.744760003,3784,0.5037944348289176,0.26374207188160675,0.7560606060606061
remove_cod,0.142857,7511,998,2786,322,3405,8687550.1184,8026659.760840001,3956355.4240000006,0.0,24807314.624,20670565.30324,28763670.048000004,8093104.744760003,3784,0.5037944348289176,0.26374207188160675,0.7560606060606061
remove_cod,0.143323,7511,985,2725,335,3466,8612143.9,7846805.19176,4171616.048000001,0.0,24592054.0,20630565.139760002,28763670.048000004,8133104.908240002,3710,0.4939422180801491,0.26549865229110514,0.7462121212121212
remove_cod,0.15,7511,985,2725,335,3466,8612143.9,7846805.19176,4171616.048000001,0.0,24592054.0,20630565.139760002,28763670.048000004,8133104.908240002,3710,0.4939422180801491,0.26549865229110514,0.7462121212121212
remove_cod,0.150628,7511,903,2270,417,3921,8259647.8608,6998305.205440001,5177576.16,0.0,23586093.888,20435529.22624,28763670.048000004,8328140.8217600025,3173,0.4224470776194914,0.2845887173022376,0.6840909090909091
remove_cod,0.16,7511,903,2269,417,3922,8259647.8608,6997289.698040001,5177576.16,0.0,23586093.888,20434513.718840003,28763670.048000004,8329156.329160001,3172,0.4223139395553189,0.28467843631778056,0.6840909090909091
remove_cod,0.17,7511,903,2269,417,3922,8259647.8608,6997289.698040001,5177576.16,0.0,23586093.888,20434513.718840003,28763670.048000004,8329156.329160001,3172,0.4223139395553189,0.28467843631778056,0.6840909090909091
remove_cod,0.18,7511,903,2269,417,3922,8259647.8608,6997289.698040001,5177576.16,0.0,23586093.888,20434513.718840003,28763670.048000004,8329156.329160001,3172,0.4223139395553189,0.28467843631778056,0.6840909090909091
