action,threshold,n,n_tp,n_fp,n_fn,n_tn,cost_tp,cost_fp,cost_fn,cost_tn,cost_tp_counterfactual,total_cost,do_nothing_cost,savings,n_flagged,flag_rate,precision,recall
remove_discount,0.07,7511,1158,4150,162,2041,14923894.396800004,4743222.39632,1639843.872,0.0,27123826.176,21306960.665120006,28763670.048000004,7456709.382879999,5308,0.7066968446278791,0.21816126601356442,0.8772727272727273
remove_discount,0.08,7511,1158,4150,162,2041,14923894.396800004,4743222.39632,1639843.872,0.0,27123826.176,21306960.665120006,28763670.048000004,7456709.382879999,5308,0.7066968446278791,0.21816126601356442,0.8772727272727273
remove_discount,0.09,7511,1158,4150,162,2041,14923894.396800004,4743222.39632,1639843.872,0.0,27123826.176,21306960.665120006,28763670.048000004,7456709.382879999,5308,0.7066968446278791,0.21816126601356442,0.8772727272727273
remove_discount,0.095652,7511,1158,4150,162,2041,14923894.396800004,4743222.39632,1639843.872,0.0,27123826.176,21306960.665120006,28763670.048000004,7456709.382879999,5308,0.7066968446278791,0.21816126601356442,0.8772727272727273
remove_discount,0.1,7511,1123,3757,197,2434,14687311.471200004,4412240.326400001,2069676.4640000002,0.0,26693993.584,21169228.261600006,28763670.048000004,7594441.786399998,4880,0.6497137531620291,0.23012295081967213,0.8507575757575757
remove_discount,0.11,7511,1123,3757,197,2434,14687311.471200004,4412240.326400001,2069676.4640000002,0.0,26693993.584,21169228.261600006,28763670.048000004,7594441.786399998,4880,0.6497137531620291,0.23012295081967213,0.8507575757575757
remove_discount,0.116788,7511,1123,3756,197,2435,14687311.471200004,4411815.847200001,2069676.4640000002,0.0,26693993.584,21168803.782400005,28763670.048000004,7594866.2656,4879,0.6495806150978565,0.2301701168272187,0.8507575757575757
remove_discount,0.12,7511,1039,3079,281,3112,14038323.120000003,3821688.4616,3248891.648,0.0,25514778.4,21108903.229600005,28763670.048000004,7654766.818399999,4118,0.5482625482625483,0.2523069451189898,0.7871212121212121
remove_discount,0.121855,7511,1039,3077,281,3114,14038323.120000003,3819354.0270400005,3248891.648,0.0,25514778.4,21106568.795040004,28763670.048000004,7657101.25296,4116,0.5479962721342032,0.2524295432458698,0.7871212121212121
remove_discount,0.129944,7511,999,2786,321,3405,13654878.060000002,3575143.2270400003,3945700.848,0.0,24817969.200000003,21175722.135040004,28763670.048000004,7587947.91296,3785,0.5039275728930901,0.2639365918097754,0.7568181818181818
remove_discount,0.13,7511,999,2786,321,3405,13654878.060000002,3575143.2270400003,3945700.848,0.0,24817969.200000003,21175722.135040004,28763670.048000004,7587947.91296,3785,0.5039275728930901,0.2639365918097754,0.7568181818181818
remove_discount,0.14,7511,998,2786,322,3405,13649013.043200003,3575143.2270400003,3956355.4240000006,0.0,24807314.624,21180511.694240004,28763670.048000004,7583158.35376,3784,0.5037944348289176,0.26374207188160675,0.7560606060606061
remove_discount,0.142857,7511,998,2786,322,3405,13649013.043200003,3575143.2270400003,3956355.4240000006,0.0,24807314.624,21180511.694240004,28763670.048000004,7583158.35376,3784,0.5037944348289176,0.26374207188160675,0.7560606060606061
