dimension,segment,n_orders,base_rate,flag_rate,flag_rate_vs_overall,over_flagging_ratio,precision,recall,false_positive_rate,reliable
region,UK,6777,0.1752988047808765,0.5287000147557916,0.9647876119608239,3.015993265993266,0.2573262629081775,0.7760942760942761,0.47611379495437467,True
region,EU,696,0.1824712643678161,0.7227011494252874,1.3188066893424035,3.9606299212598426,0.22266401590457258,0.8818897637795275,0.687170474516696,True
region,ROW,38,0.13157894736842105,0.7894736842105263,1.4406552094522018,6.0,0.16666666666666666,1.0,0.7575757575757576,False
customer_type,returning,6910,0.17814761215629524,0.5421128798842257,0.9892638097207044,3.043054427294882,0.2584089695675387,0.7863525588952072,0.4891706286318014,True
customer_type,new,601,0.1480865224625624,0.6156405990016639,1.1234393923958934,4.157303370786517,0.1918918918918919,0.797752808988764,0.583984375,True
order_value,500-1k,1143,0.2440944881889764,0.7340332458442694,1.3394858380797636,3.007168458781362,0.29916567342073896,0.899641577060932,0.6805555555555556,True
order_value,150-300,1838,0.14526659412404788,0.5103373231773667,0.9312788227369293,3.5131086142322094,0.20149253731343283,0.7078651685393258,0.4767663908338638,True
order_value,300-500,2205,0.22086167800453516,0.7392290249433107,1.3489672512996127,3.347022587268994,0.2552147239263804,0.8542094455852156,0.7066356228172294,True
order_value,<150,1853,0.07879114948731786,0.1921208850512682,0.35058794159865775,2.4383561643835616,0.1544943820224719,0.3767123287671233,0.1763327475102519,True
order_value,1k+,472,0.298728813559322,0.7478813559322034,1.36475628386948,2.5035460992907805,0.3626062322946176,0.9078014184397163,0.6797583081570997,True
