threshold,fpr,tpr
inf,0.0,0.0
1.0,0.0009691487643353255,0.008333333333333333
0.7607523650289486,0.0009691487643353255,0.009848484848484848
0.6304347826086957,0.00468421902762074,0.048484848484848485
0.6251459404830515,0.004845743821676627,0.048484848484848485
0.5402298850574713,0.018898400904538846,0.11515151515151516
0.39661523790880804,0.018898400904538846,0.11666666666666667
0.3611252985070265,0.019221450492650623,0.11666666666666667
0.3508771929824562,0.05023421095138104,0.20757575757575758
0.3149171270718232,0.08253916976255855,0.2772727272727273
0.3103448275862069,0.0975609756097561,0.3
0.29702970297029707,0.11742852527863026,0.3393939393939394
0.2726701413540769,0.11807462445485382,0.3393939393939394
0.2463768115942029,0.12792763689226297,0.3522727272727273
0.22991396526142988,0.12857373606848652,0.3522727272727273
0.21962616822429906,0.2857373606848651,0.581060606060606
0.2064516129032258,0.31432724923275723,0.6196969696969697
0.19305019305019305,0.366338232918753,0.6833333333333333
0.1910812326539869,0.366338232918753,0.6840909090909091
0.15844116360163701,0.3666612825068648,0.6840909090909091
0.1506276150627615,0.44015506380229363,0.7462121212121212
0.14285714285714285,0.4500080762397028,0.7560606060606061
0.132028436743898,0.4500080762397028,0.7568181818181818
0.12994350282485878,0.49652721692779844,0.7863636363636364
0.12984008143703274,0.4966887417218543,0.7863636363636364
0.12497658609361206,0.4966887417218543,0.7871212121212121
0.11698414868914878,0.49765789048618964,0.7871212121212121
0.11678832116788321,0.6066871264739138,0.8507575757575757
0.11473528096704537,0.6068486512679696,0.8507575757575757
0.09565217391304348,0.6703278953319335,0.8772727272727273
0.057971014492753624,0.6869649491196899,0.8818181818181818
0.05740987983978638,0.9242448715877887,0.9772727272727273
0.05673805815178857,0.9250524955580681,0.9772727272727273
0.05649717514124294,0.9828783718300759,0.9984848484848485
0.02434930998765779,0.9844936197706348,0.9984848484848485
0.023809523809523808,0.9980617024713293,1.0
0.008450078512355559,0.9983847520594411,1.0
0.0,1.0,1.0
