action,threshold,n,n_tp,n_fp,n_fn,n_tn,cost_tp,cost_fp,cost_fn,cost_tn,cost_tp_counterfactual,total_cost,do_nothing_cost,savings,n_flagged,flag_rate,precision,recall
manual_pack_check,0.0,7511,1320,6191,0,0,21625552.536000002,247640.0,0.0,0.0,28763670.048000004,21873192.536000002,28763670.048000004,6890477.512000002,7511,1.0,0.17574224470776195,1.0
manual_pack_check,0.01,7511,1320,6180,0,11,21625552.536000002,247200.0,0.0,0.0,28763670.048000004,21872752.536000002,28763670.048000004,6890917.512000002,7500,0.998535481294102,0.176,1.0
manual_pack_check,0.02,7511,1320,6179,0,12,21625552.536000002,247160.0,0.0,0.0,28763670.048000004,21872712.536000002,28763670.048000004,6890957.512000002,7499,0.9984023432299295,0.1760234697959728,1.0
manual_pack_check,0.02381,7511,1318,6095,2,96,21623228.704000004,243800.0,2991.7760000000007,0.0,28760678.272000004,21870020.480000004,28763670.048000004,6893649.568,7413,0.9869524697110904,0.17779576419803048,0.9984848484848485
manual_pack_check,0.03,7511,1318,6092,2,99,21623228.704000004,243680.0,2991.7760000000007,0.0,28760678.272000004,21869900.480000004,28763670.048000004,6893769.568,7410,0.9865530555185728,0.17786774628879892,0.9984848484848485
manual_pack_check,0.039356,7511,1318,6087,2,104,21623228.704000004,243480.0,2991.7760000000007,0.0,28760678.272000004,21869700.480000004,28763670.048000004,6893969.568,7405,0.98588736519771,0.17798784604996623,0.9984848484848485
manual_pack_check,0.04,7511,1318,6086,2,105,21623228.704000004,243440.0,2991.7760000000007,0.0,28760678.272000004,21869660.480000004,28763670.048000004,6894009.568,7404,0.9857542271335374,0.17801188546731497,0.9984848484848485
manual_pack_check,0.05,7511,1318,6086,2,105,21623228.704000004,243440.0,2991.7760000000007,0.0,28760678.272000004,21869660.480000004,28763670.048000004,6894009.568,7404,0.9857542271335374,0.17801188546731497,0.9984848484848485
manual_pack_check,0.056497,7511,1318,6085,2,106,21623228.704000004,243400.0,2991.7760000000007,0.0,28760678.272000004,21869620.480000004,28763670.048000004,6894049.568,7403,0.985621089069365,0.17803593137917062,0.9984848484848485
manual_pack_check,0.057146,7511,1290,5725,30,466,21474791.688,229000.0,199414.46400000004,0.0,28564255.584000003,21903206.152000003,28763670.048000004,6860463.896000002,7015,0.9339635201704167,0.18389166072701355,0.9772727272727273
manual_pack_check,0.05741,7511,1164,4253,156,1938,20426578.284,170120.0,1590312.3360000001,0.0,27173357.712000005,22187010.62,28763670.048000004,6576659.428000003,5417,0.7212088936226867,0.21487908436403913,0.8818181818181818
manual_pack_check,0.057971,7511,1164,4253,156,1938,20426578.284,170120.0,1590312.3360000001,0.0,27173357.712000005,22187010.62,28763670.048000004,6576659.428000003,5417,0.7212088936226867,0.21487908436403913,0.8818181818181818
manual_pack_check,0.06,7511,1158,4150,162,2041,20389189.632,166000.0,1639843.872,0.0,27123826.176,22195033.504,28763670.048000004,6568636.5440000035,5308,0.7066968446278791,0.21816126601356442,0.8772727272727273
manual_pack_check,0.07,7511,1158,4150,162,2041,20389189.632,166000.0,1639843.872,0.0,27123826.176,22195033.504,28763670.048000004,6568636.5440000035,5308,0.7066968446278791,0.21816126601356442,0.8772727272727273
manual_pack_check,0.08,7511,1158,4150,162,2041,20389189.632,166000.0,1639843.872,0.0,27123826.176,22195033.504,28763670.048000004,6568636.5440000035,5308,0.7066968446278791,0.21816126601356442,0.8772727272727273
manual_pack_check,0.09,7511,1158,4150,162,2041,20389189.632,166000.0,1639843.872,0.0,27123826.176,22195033.504,28763670.048000004,6568636.5440000035,5308,0.7066968446278791,0.21816126601356442,0.8772727272727273
manual_pack_check,0.095652,7511,1158,4150,162,2041,20389189.632,166000.0,1639843.872,0.0,27123826.176,22195033.504,28763670.048000004,6568636.5440000035,5308,0.7066968446278791,0.21816126601356442,0.8772727272727273
manual_pack_check,0.1,7511,1123,3757,197,2434,20065415.188,150280.0,2069676.4640000002,0.0,26693993.584,22285371.652000003,28763670.048000004,6478298.396000002,4880,0.6497137531620291,0.23012295081967213,0.8507575757575757
manual_pack_check,0.11,7511,1123,3757,197,2434,20065415.188,150280.0,2069676.4640000002,0.0,26693993.584,22285371.652000003,28763670.048000004,6478298.396000002,4880,0.6497137531620291,0.23012295081967213,0.8507575757575757
manual_pack_check,0.116788,7511,1123,3756,197,2435,20065415.188,150240.0,2069676.4640000002,0.0,26693993.584,22285331.652000003,28763670.048000004,6478338.396000002,4879,0.6495806150978565,0.2301701168272187,0.8507575757575757
manual_pack_check,0.12,7511,1039,3079,281,3112,19177643.799999997,123160.0,3248891.648,0.0,25514778.4,22549695.448,28763670.048000004,6213974.600000005,4118,0.5482625482625483,0.2523069451189898,0.7871212121212121
